CountryCode,CountryPreferences::AvailableExamModes,CountryPreferences::MethodForQuartiles,Poincare::Preferences::UnitFormat,CountryPreferences::HomeAppsLayout
WW,All,MedianOfSublist,Metric,Default
CA,All,MedianOfSublist,Metric,Default
DE,All,MedianOfSublist,Metric,Default
ES,All,MedianOfSublist,Metric,Default
FR,All,CumulatedFrequency,Metric,Default
GB,All,MedianOfSublist,Metric,Default
IT,All,CumulatedFrequency,Metric,Default
NL,All,MedianOfSublist,Metric,Default
PT,All,MedianOfSublist,Metric,Default
US,All,MedianOfSublist,Imperial,HidePython
